Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(model_trainer.py:429726): Gdk-CRITICAL **: 17:52:54.293: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Epochs:  100000
Pretrained:  False
SAM:  False
Adversarial Training Type:  None
Files already downloaded and verified
Files already downloaded and verified
CIFAR10 Data Loaded
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
Epoch:  27300 	Loss:  2.302614212036133
Epoch:  27310 	Loss:  2.3026773929595947
Epoch:  27320 	Loss:  2.302684783935547
Epoch:  27330 	Loss:  2.302734851837158
Epoch:  27340 	Loss:  2.302527904510498
Epoch:  27350 	Loss:  2.3026633262634277
Epoch:  27360 	Loss:  2.302687883377075
Epoch:  27370 	Loss:  2.3027234077453613
Epoch:  27380 	Loss:  2.3025920391082764
Epoch:  27390 	Loss:  2.302550792694092
Epoch:  27400 	Loss:  2.302607297897339
Epoch:  27410 	Loss:  2.3025095462799072
Epoch:  27420 	Loss:  2.302683115005493
Epoch:  27430 	Loss:  2.302617073059082
Epoch:  27440 	Loss:  2.3026509284973145
Epoch:  27450 	Loss:  2.3026223182678223
Epoch:  27460 	Loss:  2.3026299476623535
Epoch:  27470 	Loss:  2.3026375770568848
Epoch:  27480 	Loss:  2.30259370803833
Epoch:  27490 	Loss:  2.302621364593506
Epoch:  27500 	Loss:  2.3027544021606445
Epoch:  27510 	Loss:  2.3025412559509277
Epoch:  27520 	Loss:  2.302729368209839
Epoch:  27530 	Loss:  2.3026251792907715
Epoch:  27540 	Loss:  2.30254864692688
Epoch:  27550 	Loss:  2.3025596141815186
Epoch:  27560 	Loss:  2.3026046752929688
Epoch:  27570 	Loss:  2.3025927543640137
Epoch:  27580 	Loss:  2.3026070594787598
Epoch:  27590 	Loss:  2.3026506900787354
Epoch:  27600 	Loss:  2.302457332611084
Epoch:  27610 	Loss:  2.302633285522461
Epoch:  27620 	Loss:  2.302640676498413
Epoch:  27630 	Loss:  2.302664279937744
Epoch:  27640 	Loss:  2.302647113800049
Epoch:  27650 	Loss:  2.3025710582733154
Epoch:  27660 	Loss:  2.3024516105651855
Epoch:  27670 	Loss:  2.302687883377075
Epoch:  27680 	Loss:  2.3025834560394287
Epoch:  27690 	Loss:  2.302607774734497
Epoch:  27700 	Loss:  2.302720546722412
Epoch:  27710 	Loss:  2.3025870323181152
Epoch:  27720 	Loss:  2.302647113800049
Epoch:  27730 	Loss:  2.3027195930480957
Epoch:  27740 	Loss:  2.3025288581848145
Epoch:  27750 	Loss:  2.302649974822998
Epoch:  27760 	Loss:  2.3025994300842285
Epoch:  27770 	Loss:  2.3026013374328613
Epoch:  27780 	Loss:  2.302480459213257
Epoch:  27790 	Loss:  2.302600860595703
Epoch:  27800 	Loss:  2.302671432495117
Epoch:  27810 	Loss:  2.302558183670044
Epoch:  27820 	Loss:  2.302647113800049
Epoch:  27830 	Loss:  2.3026282787323
Epoch:  27840 	Loss:  2.302553653717041
Epoch:  27850 	Loss:  2.30267333984375
Epoch:  27860 	Loss:  2.3025498390197754
Epoch:  27870 	Loss:  2.3026490211486816
Epoch:  27880 	Loss:  2.302633047103882
Epoch:  27890 	Loss:  2.3026137351989746
Epoch:  27900 	Loss:  2.302577495574951
Epoch:  27910 	Loss:  2.302682399749756
Epoch:  27920 	Loss:  2.3025689125061035
Epoch:  27930 	Loss:  2.302670955657959
Epoch:  27940 	Loss:  2.3026058673858643
Epoch:  27950 	Loss:  2.3026504516601562
Epoch:  27960 	Loss:  2.302663564682007
Epoch:  27970 	Loss:  2.3026349544525146
Epoch:  27980 	Loss:  2.302581787109375
Epoch:  27990 	Loss:  2.3025875091552734
Epoch:  28000 	Loss:  2.302593231201172
Epoch:  28010 	Loss:  2.302649736404419
Epoch:  28020 	Loss:  2.3027098178863525
Epoch:  28030 	Loss:  2.3025832176208496
Epoch:  28040 	Loss:  2.3026082515716553
Epoch:  28050 	Loss:  2.3025922775268555
Epoch:  28060 	Loss:  2.3026368618011475
Epoch:  28070 	Loss:  2.3026325702667236
Epoch:  28080 	Loss:  2.3025941848754883
Epoch:  28090 	Loss:  2.3025667667388916
Epoch:  28100 	Loss:  2.3026299476623535
Epoch:  28110 	Loss:  2.3026347160339355
Epoch:  28120 	Loss:  2.302668809890747
Epoch:  28130 	Loss:  2.3026785850524902
Epoch:  28140 	Loss:  2.3026058673858643
Epoch:  28150 	Loss:  2.302715539932251
Epoch:  28160 	Loss:  2.302609920501709
Epoch:  28170 	Loss:  2.3026387691497803
Epoch:  28180 	Loss:  2.302629232406616
Epoch:  28190 	Loss:  2.302555799484253
Epoch:  28200 	Loss:  2.302666425704956
Epoch:  28210 	Loss:  2.3026444911956787
Epoch:  28220 	Loss:  2.3026480674743652
Epoch:  28230 	Loss:  2.3026680946350098
Epoch:  28240 	Loss:  2.302666664123535
Epoch:  28250 	Loss:  2.302551031112671
Epoch:  28260 	Loss:  2.302769184112549
Epoch:  28270 	Loss:  2.302534580230713
Epoch:  28280 	Loss:  2.302669048309326
Epoch:  28290 	Loss:  2.302612781524658
Epoch:  28300 	Loss:  2.302659511566162
Epoch:  28310 	Loss:  2.302605152130127
Epoch:  28320 	Loss:  2.3026721477508545
Epoch:  28330 	Loss:  2.3025875091552734
Epoch:  28340 	Loss:  2.3026041984558105
Epoch:  28350 	Loss:  2.302586078643799
Epoch:  28360 	Loss:  2.302605628967285
Epoch:  28370 	Loss:  2.302565336227417
Epoch:  28380 	Loss:  2.3026232719421387
Epoch:  28390 	Loss:  2.302583932876587
Epoch:  28400 	Loss:  2.3025765419006348
Epoch:  28410 	Loss:  2.302544593811035
Epoch:  28420 	Loss:  2.3025529384613037
Epoch:  28430 	Loss:  2.3026576042175293
Epoch:  28440 	Loss:  2.30263090133667
Epoch:  28450 	Loss:  2.3025405406951904
Epoch:  28460 	Loss:  2.3026065826416016
Epoch:  28470 	Loss:  2.302537441253662
Epoch:  28480 	Loss:  2.3025054931640625
Epoch:  28490 	Loss:  2.302553653717041
Epoch:  28500 	Loss:  2.3026111125946045
Epoch:  28510 	Loss:  2.3026630878448486
Epoch:  28520 	Loss:  2.3026528358459473
Epoch:  28530 	Loss:  2.3025081157684326
Epoch:  28540 	Loss:  2.302619695663452
Epoch:  28550 	Loss:  2.3025705814361572
Epoch:  28560 	Loss:  2.3026583194732666
Epoch:  28570 	Loss:  2.3025364875793457
Epoch:  28580 	Loss:  2.302593946456909
Epoch:  28590 	Loss:  2.302638292312622
Epoch:  28600 	Loss:  2.3027055263519287
Epoch:  28610 	Loss:  2.3026180267333984
Epoch:  28620 	Loss:  2.3026061058044434
Epoch:  28630 	Loss:  2.302706003189087
Epoch:  28640 	Loss:  2.3024709224700928
Epoch:  28650 	Loss:  2.302584409713745
Epoch:  28660 	Loss:  2.302614450454712
Epoch:  28670 	Loss:  2.302658796310425
Epoch:  28680 	Loss:  2.302690267562866
Epoch:  28690 	Loss:  2.302726984024048
Epoch:  28700 	Loss:  2.302628993988037
Epoch:  28710 	Loss:  2.302621364593506
Epoch:  28720 	Loss:  2.3026113510131836
Epoch:  28730 	Loss:  2.3027138710021973
Epoch:  28740 	Loss:  2.3026063442230225
Epoch:  28750 	Loss:  2.302746534347534
Epoch:  28760 	Loss:  2.3025434017181396
Epoch:  28770 	Loss:  2.3025505542755127
Epoch:  28780 	Loss:  2.3027117252349854
Epoch:  28790 	Loss:  2.302689552307129
Epoch:  28800 	Loss:  2.3026092052459717
Epoch:  28810 	Loss:  2.302755355834961
Epoch:  28820 	Loss:  2.302690267562866
Epoch:  28830 	Loss:  2.302565336227417
Epoch:  28840 	Loss:  2.3025145530700684
Epoch:  28850 	Loss:  2.302600860595703
Epoch:  28860 	Loss:  2.3025307655334473
Epoch:  28870 	Loss:  2.302722215652466
Epoch:  28880 	Loss:  2.302546739578247
Epoch:  28890 	Loss:  2.3026580810546875
Epoch:  28900 	Loss:  2.302647113800049
Epoch:  28910 	Loss:  2.3025882244110107
Epoch:  28920 	Loss:  2.3025448322296143
Epoch:  28930 	Loss:  2.302612781524658
Epoch:  28940 	Loss:  2.3025481700897217
Epoch:  28950 	Loss:  2.302490234375
Epoch:  28960 	Loss:  2.302590847015381
Epoch:  28970 	Loss:  2.3025481700897217
Epoch:  28980 	Loss:  2.3026821613311768
Epoch:  28990 	Loss:  2.3025431632995605
Epoch:  29000 	Loss:  2.3025803565979004
Epoch:  29010 	Loss:  2.302560329437256
Epoch:  29020 	Loss:  2.302645206451416
Epoch:  29030 	Loss:  2.3026833534240723
Epoch:  29040 	Loss:  2.30263352394104
Epoch:  29050 	Loss:  2.302757978439331
Epoch:  29060 	Loss:  2.3026230335235596
Epoch:  29070 	Loss:  2.302614450454712
Epoch:  29080 	Loss:  2.302572727203369
Epoch:  29090 	Loss:  2.3027408123016357
Epoch:  29100 	Loss:  2.3026843070983887
Epoch:  29110 	Loss:  2.3026516437530518
Epoch:  29120 	Loss:  2.302621364593506
Epoch:  29130 	Loss:  2.3026442527770996
Epoch:  29140 	Loss:  2.302581787109375
Epoch:  29150 	Loss:  2.3026535511016846
Epoch:  29160 	Loss:  2.3025879859924316
Epoch:  29170 	Loss:  2.302595615386963
Epoch:  29180 	Loss:  2.302572727203369
Epoch:  29190 	Loss:  2.3025877475738525
Epoch:  29200 	Loss:  2.3026623725891113
Epoch:  29210 	Loss:  2.302570104598999
Epoch:  29220 	Loss:  2.3026211261749268
Epoch:  29230 	Loss:  2.3026585578918457
Epoch:  29240 	Loss:  2.3026885986328125
Epoch:  29250 	Loss:  2.302597999572754
Epoch:  29260 	Loss:  2.3026115894317627
Epoch:  29270 	Loss:  2.3026022911071777
Epoch:  29280 	Loss:  2.3024044036865234
Epoch:  29290 	Loss:  2.302609920501709
Epoch:  29300 	Loss:  2.3026442527770996
Epoch:  29310 	Loss:  2.302549123764038
Epoch:  29320 	Loss:  2.3025660514831543
Epoch:  29330 	Loss:  2.3026552200317383
Epoch:  29340 	Loss:  2.302628517150879
Epoch:  29350 	Loss:  2.3026466369628906
Epoch:  29360 	Loss:  2.3025505542755127
Epoch:  29370 	Loss:  2.3027048110961914
Epoch:  29380 	Loss:  2.30259370803833
Epoch:  29390 	Loss:  2.302682876586914
Epoch:  29400 	Loss:  2.302572727203369
Epoch:  29410 	Loss:  2.302522659301758
Epoch:  29420 	Loss:  2.302518606185913
Epoch:  29430 	Loss:  2.3026630878448486
Epoch:  29440 	Loss:  2.302727222442627
Epoch:  29450 	Loss:  2.3026516437530518
Epoch:  29460 	Loss:  2.302565097808838
Epoch:  29470 	Loss:  2.302706480026245
Epoch:  29480 	Loss:  2.3025784492492676
Epoch:  29490 	Loss:  2.302685260772705
Epoch:  29500 	Loss:  2.302753448486328
Epoch:  29510 	Loss:  2.3026506900787354
Epoch:  29520 	Loss:  2.3026328086853027
Epoch:  29530 	Loss:  2.3026070594787598
Epoch:  29540 	Loss:  2.302607536315918
Epoch:  29550 	Loss:  2.3026602268218994
Epoch:  29560 	Loss:  2.302602529525757
Epoch:  29570 	Loss:  2.302567720413208
Epoch:  29580 	Loss:  2.3025667667388916
Epoch:  29590 	Loss:  2.3026773929595947
Epoch:  29600 	Loss:  2.302686929702759
Epoch:  29610 	Loss:  2.3027219772338867
Epoch:  29620 	Loss:  2.302513837814331
Epoch:  29630 	Loss:  2.3026185035705566
Epoch:  29640 	Loss:  2.3025336265563965
Epoch:  29650 	Loss:  2.3027353286743164
Epoch:  29660 	Loss:  2.3025684356689453
Epoch:  29670 	Loss:  2.3026912212371826
Epoch:  29680 	Loss:  2.3028602600097656
Epoch:  29690 	Loss:  2.302644729614258
Epoch:  29700 	Loss:  2.3025412559509277
Epoch:  29710 	Loss:  2.3025386333465576
Epoch:  29720 	Loss:  2.3026299476623535
Epoch:  29730 	Loss:  2.302478551864624
Epoch:  29740 	Loss:  2.3027169704437256
Epoch:  29750 	Loss:  2.302565336227417
Epoch:  29760 	Loss:  2.302569627761841
Epoch:  29770 	Loss:  2.302595376968384
Epoch:  29780 	Loss:  2.3025033473968506
Epoch:  29790 	Loss:  2.302619695663452
Epoch:  29800 	Loss:  2.302666187286377
Epoch:  29810 	Loss:  2.302595615386963
Epoch:  29820 	Loss:  2.3025732040405273
Epoch:  29830 	Loss:  2.302687168121338
Epoch:  29840 	Loss:  2.302614212036133
Epoch:  29850 	Loss:  2.3026766777038574
Epoch:  29860 	Loss:  2.302645206451416
Epoch:  29870 	Loss:  2.302590847015381
Epoch:  29880 	Loss:  2.302582025527954
Epoch:  29890 	Loss:  2.3026065826416016
Epoch:  29900 	Loss:  2.3026115894317627
Epoch:  29910 	Loss:  2.302692174911499
Epoch:  29920 	Loss:  2.3026392459869385
Epoch:  29930 	Loss:  2.3026344776153564
Epoch:  29940 	Loss:  2.302502155303955
Epoch:  29950 	Loss:  2.302727222442627
Epoch:  29960 	Loss:  2.3027124404907227
Epoch:  29970 	Loss:  2.3025612831115723
Epoch:  29980 	Loss:  2.30258846282959
Epoch:  29990 	Loss:  2.30271577835083
Epoch:  30000 	Loss:  2.3026673793792725
Epoch:  30010 	Loss:  2.3025498390197754
Epoch:  30020 	Loss:  2.302717447280884
Epoch:  30030 	Loss:  2.302563190460205
Epoch:  30040 	Loss:  2.302669048309326
Epoch:  30050 	Loss:  2.3026816844940186
Epoch:  30060 	Loss:  2.3025572299957275
Epoch:  30070 	Loss:  2.302651882171631
Epoch:  30080 	Loss:  2.3026070594787598
Epoch:  30090 	Loss:  2.3024582862854004
Epoch:  30100 	Loss:  2.302717924118042
Epoch:  30110 	Loss:  2.3025996685028076
Epoch:  30120 	Loss:  2.3026139736175537
Epoch:  30130 	Loss:  2.3025941848754883
Epoch:  30140 	Loss:  2.302676200866699
Epoch:  30150 	Loss:  2.302663564682007
Epoch:  30160 	Loss:  2.302595853805542
Epoch:  30170 	Loss:  2.302556276321411
Epoch:  30180 	Loss:  2.3026652336120605
Epoch:  30190 	Loss:  2.302615165710449
Epoch:  30200 	Loss:  2.3026163578033447
Epoch:  30210 	Loss:  2.3026320934295654
Epoch:  30220 	Loss:  2.302543878555298
Epoch:  30230 	Loss:  2.302638053894043
Epoch:  30240 	Loss:  2.302600383758545
Epoch:  30250 	Loss:  2.3026671409606934
Epoch:  30260 	Loss:  2.3027961254119873
Epoch:  30270 	Loss:  2.3024680614471436
Epoch:  30280 	Loss:  2.3026785850524902
Epoch:  30290 	Loss:  2.3025996685028076
Epoch:  30300 	Loss:  2.302604913711548
Epoch:  30310 	Loss:  2.302600145339966
Epoch:  30320 	Loss:  2.30257511138916
Epoch:  30330 	Loss:  2.302621364593506
Epoch:  30340 	Loss:  2.302513599395752
Epoch:  30350 	Loss:  2.3025758266448975
Epoch:  30360 	Loss:  2.3026223182678223
Epoch:  30370 	Loss:  2.302635908126831
Epoch:  30380 	Loss:  2.302503824234009
Epoch:  30390 	Loss:  2.302609920501709
Epoch:  30400 	Loss:  2.302569627761841
Epoch:  30410 	Loss:  2.3026554584503174
Epoch:  30420 	Loss:  2.3026463985443115
Epoch:  30430 	Loss:  2.302563190460205
Epoch:  30440 	Loss:  2.302579879760742
Epoch:  30450 	Loss:  2.302584171295166
Epoch:  30460 	Loss:  2.3026413917541504
Epoch:  30470 	Loss:  2.302614450454712
Epoch:  30480 	Loss:  2.3026113510131836
Epoch:  30490 	Loss:  2.302590847015381
Epoch:  30500 	Loss:  2.3025126457214355
Epoch:  30510 	Loss:  2.3026416301727295
Epoch:  30520 	Loss:  2.302513360977173
Epoch:  30530 	Loss:  2.302732467651367
Epoch:  30540 	Loss:  2.3025941848754883
Epoch:  30550 	Loss:  2.3025593757629395
Epoch:  30560 	Loss:  2.302766799926758
Epoch:  30570 	Loss:  2.3025567531585693
Epoch:  30580 	Loss:  2.302583932876587
Epoch:  30590 	Loss:  2.302581310272217
Epoch:  30600 	Loss:  2.302614688873291
Epoch:  30610 	Loss:  2.3026602268218994
Epoch:  30620 	Loss:  2.3026580810546875
Epoch:  30630 	Loss:  2.302610158920288
Epoch:  30640 	Loss:  2.3025903701782227
Epoch:  30650 	Loss:  2.302633762359619
Epoch:  30660 	Loss:  2.302593946456909
Epoch:  30670 	Loss:  2.3027126789093018
Epoch:  30680 	Loss:  2.3026392459869385
Epoch:  30690 	Loss:  2.3025500774383545
Epoch:  30700 	Loss:  2.3025803565979004
Epoch:  30710 	Loss:  2.3026442527770996
Epoch:  30720 	Loss:  2.302584409713745
Epoch:  30730 	Loss:  2.3025803565979004
Epoch:  30740 	Loss:  2.3025944232940674
Epoch:  30750 	Loss:  2.3026247024536133
Epoch:  30760 	Loss:  2.3026275634765625
Epoch:  30770 	Loss:  2.3025779724121094
Epoch:  30780 	Loss:  2.3026556968688965
Epoch:  30790 	Loss:  2.3026576042175293
Epoch:  30800 	Loss:  2.3026976585388184
Epoch:  30810 	Loss:  2.302605628967285
Epoch:  30820 	Loss:  2.3027024269104004
Epoch:  30830 	Loss:  2.302668809890747
Epoch:  30840 	Loss:  2.3025667667388916
Epoch:  30850 	Loss:  2.302584171295166
Epoch:  30860 	Loss:  2.302628993988037
Epoch:  30870 	Loss:  2.3025991916656494
Epoch:  30880 	Loss:  2.3025951385498047
Epoch:  30890 	Loss:  2.3026270866394043
Epoch:  30900 	Loss:  2.3026680946350098
Epoch:  30910 	Loss:  2.3025600910186768
Epoch:  30920 	Loss:  2.3026323318481445
Epoch:  30930 	Loss:  2.3026418685913086
Epoch:  30940 	Loss:  2.302645206451416
Epoch:  30950 	Loss:  2.302621364593506
Epoch:  30960 	Loss:  2.302677631378174
Epoch:  30970 	Loss:  2.302588701248169
Epoch:  30980 	Loss:  2.302670955657959
Epoch:  30990 	Loss:  2.3025245666503906
Epoch:  31000 	Loss:  2.302551031112671
Epoch:  31010 	Loss:  2.302773952484131
Epoch:  31020 	Loss:  2.302551507949829
Epoch:  31030 	Loss:  2.302617311477661
Epoch:  31040 	Loss:  2.302630662918091
Epoch:  31050 	Loss:  2.302572011947632
Epoch:  31060 	Loss:  2.3025858402252197
Epoch:  31070 	Loss:  2.3026039600372314
Epoch:  31080 	Loss:  2.3026113510131836
Epoch:  31090 	Loss:  2.3027915954589844
Epoch:  31100 	Loss:  2.3026645183563232
Epoch:  31110 	Loss:  2.3025124073028564
Epoch:  31120 	Loss:  2.302666425704956
Epoch:  31130 	Loss:  2.3026952743530273
Epoch:  31140 	Loss:  2.3025944232940674
Epoch:  31150 	Loss:  2.3026633262634277
Epoch:  31160 	Loss:  2.302703857421875
Epoch:  31170 	Loss:  2.3026316165924072
Epoch:  31180 	Loss:  2.302609443664551
Epoch:  31190 	Loss:  2.302546501159668
Epoch:  31200 	Loss:  2.3026227951049805
Epoch:  31210 	Loss:  2.3026821613311768
Epoch:  31220 	Loss:  2.3026294708251953
Epoch:  31230 	Loss:  2.302640676498413
Epoch:  31240 	Loss:  2.3026833534240723
Epoch:  31250 	Loss:  2.3024985790252686
Epoch:  31260 	Loss:  2.3025765419006348
Epoch:  31270 	Loss:  2.302539348602295
Epoch:  31280 	Loss:  2.302704334259033
Epoch:  31290 	Loss:  2.302588701248169
Epoch:  31300 	Loss:  2.302572011947632
Epoch:  31310 	Loss:  2.302529811859131
Epoch:  31320 	Loss:  2.3025927543640137
Epoch:  31330 	Loss:  2.3025243282318115
Epoch:  31340 	Loss:  2.30257511138916
Epoch:  31350 	Loss:  2.3026318550109863
Epoch:  31360 	Loss:  2.3026819229125977
Epoch:  31370 	Loss:  2.302579402923584
Epoch:  31380 	Loss:  2.302701473236084
Epoch:  31390 	Loss:  2.3025918006896973
Epoch:  31400 	Loss:  2.30256986618042
Epoch:  31410 	Loss:  2.3026742935180664
Epoch:  31420 	Loss:  2.3026421070098877
Epoch:  31430 	Loss:  2.302513837814331
Epoch:  31440 	Loss:  2.302577257156372
Epoch:  31450 	Loss:  2.302619457244873
Epoch:  31460 	Loss:  2.302555799484253
Epoch:  31470 	Loss:  2.302588701248169
Epoch:  31480 	Loss:  2.302684783935547
Epoch:  31490 	Loss:  2.302748441696167
Epoch:  31500 	Loss:  2.3025593757629395
Epoch:  31510 	Loss:  2.3025894165039062
Epoch:  31520 	Loss:  2.3026530742645264
Epoch:  31530 	Loss:  2.3027095794677734
Epoch:  31540 	Loss:  2.3027286529541016
Epoch:  31550 	Loss:  2.302510976791382
Epoch:  31560 	Loss:  2.3026394844055176
Epoch:  31570 	Loss:  2.3026328086853027
Epoch:  31580 	Loss:  2.302612781524658
Epoch:  31590 	Loss:  2.302574872970581
Epoch:  31600 	Loss:  2.3025224208831787
Epoch:  31610 	Loss:  2.3025999069213867
Epoch:  31620 	Loss:  2.302579402923584
Epoch:  31630 	Loss:  2.302637815475464
Epoch:  31640 	Loss:  2.3026413917541504
Epoch:  31650 	Loss:  2.302621841430664
Epoch:  31660 	Loss:  2.3026394844055176
Epoch:  31670 	Loss:  2.3026280403137207
Epoch:  31680 	Loss:  2.3026621341705322
Epoch:  31690 	Loss:  2.302593946456909
Epoch:  31700 	Loss:  2.302647352218628
Epoch:  31710 	Loss:  2.302495241165161
Epoch:  31720 	Loss:  2.30259370803833
Epoch:  31730 	Loss:  2.302638053894043
Epoch:  31740 	Loss:  2.3025684356689453
Epoch:  31750 	Loss:  2.302650213241577
Epoch:  31760 	Loss:  2.3025288581848145
Epoch:  31770 	Loss:  2.3025965690612793
Epoch:  31780 	Loss:  2.302654504776001
Epoch:  31790 	Loss:  2.302628755569458
Epoch:  31800 	Loss:  2.30267333984375
Epoch:  31810 	Loss:  2.302593469619751
Epoch:  31820 	Loss:  2.3026766777038574
Epoch:  31830 	Loss:  2.302598237991333
Epoch:  31840 	Loss:  2.3025941848754883
Epoch:  31850 	Loss:  2.3026106357574463
Epoch:  31860 	Loss:  2.302708148956299
Epoch:  31870 	Loss:  2.302569627761841
Epoch:  31880 	Loss:  2.3025689125061035
Epoch:  31890 	Loss:  2.302767515182495
Epoch:  31900 	Loss:  2.302542209625244
Epoch:  31910 	Loss:  2.3026270866394043
Epoch:  31920 	Loss:  2.3026840686798096
Epoch:  31930 	Loss:  2.3026697635650635
Epoch:  31940 	Loss:  2.302618980407715
Epoch:  31950 	Loss:  2.3024959564208984
Epoch:  31960 	Loss:  2.3026297092437744
Epoch:  31970 	Loss:  2.302633762359619
Epoch:  31980 	Loss:  2.302609443664551
Epoch:  31990 	Loss:  2.3026320934295654
Epoch:  32000 	Loss:  2.302574634552002
Epoch:  32010 	Loss:  2.3027021884918213
Epoch:  32020 	Loss:  2.302600383758545
Epoch:  32030 	Loss:  2.3026158809661865
Epoch:  32040 	Loss:  2.3026397228240967
Epoch:  32050 	Loss:  2.302558183670044
Epoch:  32060 	Loss:  2.3026089668273926
Epoch:  32070 	Loss:  2.3026366233825684
Epoch:  32080 	Loss:  2.30265474319458
Epoch:  32090 	Loss:  2.302626609802246
Epoch:  32100 	Loss:  2.302656650543213
Epoch:  32110 	Loss:  2.3025107383728027
Epoch:  32120 	Loss:  2.3025243282318115
Epoch:  32130 	Loss:  2.302600383758545
Epoch:  32140 	Loss:  2.302586078643799
Epoch:  32150 	Loss:  2.302631139755249
Epoch:  32160 	Loss:  2.3025901317596436
Epoch:  32170 	Loss:  2.3026108741760254
Epoch:  32180 	Loss:  2.302766799926758
Epoch:  32190 	Loss:  2.3026680946350098
Epoch:  32200 	Loss:  2.302570343017578
Epoch:  32210 	Loss:  2.3025927543640137
Epoch:  32220 	Loss:  2.3026182651519775
Epoch:  32230 	Loss:  2.302489995956421
Epoch:  32240 	Loss:  2.302603006362915
Epoch:  32250 	Loss:  2.302704095840454
Epoch:  32260 	Loss:  2.30257248878479
Epoch:  32270 	Loss:  2.3026883602142334
Epoch:  32280 	Loss:  2.3025918006896973
Epoch:  32290 	Loss:  2.302612781524658
Epoch:  32300 	Loss:  2.302673101425171
Epoch:  32310 	Loss:  2.3025624752044678
Epoch:  32320 	Loss:  2.302626371383667
Epoch:  32330 	Loss:  2.302669048309326
Epoch:  32340 	Loss:  2.30257248878479
Epoch:  32350 	Loss:  2.302720308303833
Epoch:  32360 	Loss:  2.302614212036133
Epoch:  32370 	Loss:  2.3026070594787598
Epoch:  32380 	Loss:  2.302555561065674
Epoch:  32390 	Loss:  2.302608013153076
Epoch:  32400 	Loss:  2.3025190830230713
Epoch:  32410 	Loss:  2.3027896881103516
Epoch:  32420 	Loss:  2.302734375
Epoch:  32430 	Loss:  2.3027071952819824
Epoch:  32440 	Loss:  2.3025765419006348
Epoch:  32450 	Loss:  2.3026278018951416
Epoch:  32460 	Loss:  2.3027026653289795
Epoch:  32470 	Loss:  2.3025848865509033
Epoch:  32480 	Loss:  2.30261492729187
Epoch:  32490 	Loss:  2.302499771118164
Epoch:  32500 	Loss:  2.302577257156372
Epoch:  32510 	Loss:  2.3025918006896973
Epoch:  32520 	Loss:  2.3026089668273926
Epoch:  32530 	Loss:  2.302603006362915
Epoch:  32540 	Loss:  2.3026862144470215
Epoch:  32550 	Loss:  2.3025333881378174
Epoch:  32560 	Loss:  2.302558183670044
Epoch:  32570 	Loss:  2.3027474880218506
Epoch:  32580 	Loss:  2.302607536315918
Epoch:  32590 	Loss:  2.302631139755249
Epoch:  32600 	Loss:  2.3025739192962646
Epoch:  32610 	Loss:  2.302652597427368
Epoch:  32620 	Loss:  2.302605152130127
Epoch:  32630 	Loss:  2.3026235103607178
Epoch:  32640 	Loss:  2.302616596221924
Epoch:  32650 	Loss:  2.302682876586914
Epoch:  32660 	Loss:  2.302687168121338
Epoch:  32670 	Loss:  2.302579641342163
Epoch:  32680 	Loss:  2.3025834560394287
Epoch:  32690 	Loss:  2.302645444869995
Epoch:  32700 	Loss:  2.3026130199432373
Epoch:  32710 	Loss:  2.302645206451416
Epoch:  32720 	Loss:  2.302631378173828
Epoch:  32730 	Loss:  2.3026347160339355
Epoch:  32740 	Loss:  2.3026976585388184
Epoch:  32750 	Loss:  2.3026607036590576
Epoch:  32760 	Loss:  2.3025312423706055
Epoch:  32770 	Loss:  2.30261492729187
Epoch:  32780 	Loss:  2.302518367767334
Epoch:  32790 	Loss:  2.3026556968688965
Epoch:  32800 	Loss:  2.302703857421875
Epoch:  32810 	Loss:  2.302644729614258
Epoch:  32820 	Loss:  2.3026299476623535
Epoch:  32830 	Loss:  2.3027122020721436
Epoch:  32840 	Loss:  2.302581548690796
Epoch:  32850 	Loss:  2.302551746368408
Epoch:  32860 	Loss:  2.3025593757629395
Epoch:  32870 	Loss:  2.3026063442230225
Epoch:  32880 	Loss:  2.302534580230713
Epoch:  32890 	Loss:  2.302614688873291
Epoch:  32900 	Loss:  2.302678108215332
Epoch:  32910 	Loss:  2.302501678466797
Epoch:  32920 	Loss:  2.3026435375213623
Epoch:  32930 	Loss:  2.30263090133667
Epoch:  32940 	Loss:  2.3025412559509277
Epoch:  32950 	Loss:  2.302579402923584
Epoch:  32960 	Loss:  2.30265212059021
Epoch:  32970 	Loss:  2.302489757537842
Epoch:  32980 	Loss:  2.302534341812134
Epoch:  32990 	Loss:  2.3026418685913086
Epoch:  33000 	Loss:  2.3026576042175293
Epoch:  33010 	Loss:  2.3025546073913574
Epoch:  33020 	Loss:  2.3026020526885986
Epoch:  33030 	Loss:  2.3026180267333984
Epoch:  33040 	Loss:  2.3026201725006104
Epoch:  33050 	Loss:  2.302673816680908
Epoch:  33060 	Loss:  2.3026318550109863
Epoch:  33070 	Loss:  2.3026559352874756
Epoch:  33080 	Loss:  2.302682399749756
Epoch:  33090 	Loss:  2.3025686740875244
Epoch:  33100 	Loss:  2.302649974822998
Epoch:  33110 	Loss:  2.302659034729004
Epoch:  33120 	Loss:  2.3025479316711426
Epoch:  33130 	Loss:  2.3027381896972656
Epoch:  33140 	Loss:  2.3025708198547363
Epoch:  33150 	Loss:  2.3026375770568848
